gene	gm12878	hela	huvec	nhek	k562
FLI1	2	1	1	1	1
KCNJ1	0	0	0	0	1
KCNJ5	0	0	1	2	0
TP53AIP1	0	0	0	2	0
ARHGAP32	0	1	0	1	0
BARX2	2	2	2	1	2
TMEM45B	0	1	1	1	0
PRDM10	2	1	1	1	2
APLP2	2	1	1	1	2
ST14	2	0	0	1	1
ZBTB44	2	2	1	1	2
SNX19	2	1	2	2	2
NTM	0	0	2	1	2
ARNTL	1	2	2	2	1
TOLLIP	2	1	2	2	1
OPCML	0	2	2	2	2
IGSF9B	2	0	1	2	2
JAM3	2	2	2	2	2
NCAPD3;VPS26B	1	1	1	2	2
ACAD8;THYN1	2	1	2	1	2
GLB1L2	0	1	2	2	2
BTBD10	1	1	1	2	1
FAR1	1	2	2	2	2
BRSK2	2	1	2	2	2
RRAS2	1	2	1	2	1
COPB1	1	1	1	2	1
PSMA1;PDE3B	1	2	1	2	1
CYP2R1	0	2	1	2	1
CALCA	0	0	0	2	0
INSC	0	0	0	0	1
DUSP8	0	1	2	2	0
SOX6	0	0	0	0	1
C11orf58	1	1	1	2	1
PLEKHA7	1	1	1	0	1
RPS13	1	1	1	2	1
PIK3C2A	1	2	1	2	1
NUCB2	1	1	1	2	1
ABCC8	1	0	0	0	0
USH1C	0	1	0	0	1
IFITM10	0	2	0	0	2
MYOD1	2	2	2	2	2
KCNC1	0	0	1	0	0
CTSD	2	1	2	2	2
SERGEF	2	2	1	2	1
SAAL1	1	1	1	2	1
MRGPRX3	0	0	0	2	0
SAA2	0	0	0	2	0
SAA1	0	1	0	2	0
GTF2H1;HPS5	1	1	1	2	1
LDHA	1	1	1	2	1
LDHC	0	1	0	1	0
LDHAL6A	0	0	0	0	1
SYT8	2	0	0	2	0
TSG101	1	1	1	2	1
TNNI2	2	0	0	2	2
UEVLD	1	1	1	1	1
SPTY2D1	1	1	1	2	1
LSP1	1	2	0	2	1
TMEM86A	0	1	1	2	1
PTPN5	2	0	0	0	1
MRGPRX2	0	0	0	0	1
ZDHHC13	1	2	1	2	1
E2F8	1	1	1	2	1
NAV2	1	1	1	2	1
TNNT3	0	2	0	0	0
MRPL23	1	1	2	2	2
BET1L;RIC8A	1	1	2	2	1
DBX1	2	2	2	2	2
HTATIP2	1	2	1	2	1
PRMT3	1	2	1	2	1
IGF2	2	1	1	2	2
ANO5	1	2	2	0	2
SLC17A6	0	0	0	0	2
FANCF	1	2	1	2	1
GAS2	1	2	1	2	1
SVIP	1	2	1	2	1
ASCL2	2	2	2	2	2
PSMD13;SIRT3	1	1	1	2	1
C11orf21;TSPAN32	2	0	0	0	2
CD81	2	1	1	2	1
TSSC4	2	1	1	2	2
KCNQ1	0	1	1	0	1
MUC15	1	0	0	1	0
FIBIN	0	2	0	2	0
BBOX1	1	0	0	2	0
CCDC34	1	2	1	2	2
LGR4	1	1	1	2	1
LIN7C	1	2	1	2	1
BDNF	1	1	1	2	1
ATHL1	1	1	1	2	1
KIF18A;METTL15	2	1	1	2	1
CDKN1C	2	1	1	1	1
SLC22A18;SLC22A18AS	1	1	1	1	1
PHLDA2	1	1	1	1	1
IFITM2	1	1	1	2	1
KCNA4	1	0	0	0	0
NAP1L4	1	1	1	1	1
ARL14EP	1	2	2	2	2
MPPED2	1	0	0	2	0
CARS	1	1	1	1	1
IFITM1	1	1	1	2	1
DCDC1;DNAJC24	1	1	1	2	2
ELP4;IMMP1L	1	1	1	2	2
OSBPL5	1	1	1	1	1
PAX6	2	1	2	2	1
IFITM3	1	1	1	2	1
RCN1	1	1	1	2	2
WT1	2	2	2	2	2
MRGPRE	0	0	0	0	1
EIF3M	1	1	2	2	2
PRRG4	1	2	1	2	1
QSER1	1	2	1	2	2
DEPDC7	1	2	1	2	2
TCP11L1	1	2	1	2	2
CSTF3	1	2	1	1	2
HIPK3	1	1	1	2	1
CD59	1	1	1	2	1
FBXO3	1	1	1	2	1
LMO2	2	2	1	2	1
ZNF195	1	2	1	1	1
CAPRIN1	1	1	1	2	1
NAT10	1	1	1	2	1
ABTB2	1	1	1	1	1
CAT	1	1	1	1	1
ELF5	2	2	2	2	1
EHF	2	2	2	1	2
APIP;PDHX	1	1	1	1	1
CD44	1	1	1	1	2
SLC1A2	0	1	0	0	0
PAMR1	0	0	2	1	0
FJX1	1	1	1	1	1
TRIM44	1	2	1	1	1
LDLRAD3	2	1	1	2	1
COMMD9;PRR5L	1	2	1	1	1
TRAF6	1	2	1	1	1
ART5	0	2	1	2	2
